new_index,nearest_index,distance,reference_date,infer_date
484,2433,1.6265626246015175,2020-09-18,2012-10-01
485,2433,1.8294959437353724,2020-09-18,2012-10-02
486,2433,2.300504080590007,2020-09-18,2012-10-03
487,2433,1.9495963569321113,2020-09-18,2012-10-04
488,69,2.0411313948831182,2011-02-10,2012-10-05
489,69,1.5193059662056767,2011-02-10,2012-10-08
490,68,1.860443646921995,2011-02-09,2012-10-09
491,69,1.6063149626412692,2011-02-10,2012-10-11
492,68,1.8121487915100334,2011-02-09,2012-10-12
493,68,1.962761523594176,2011-02-09,2012-10-15
494,2950,2.0837868967658757,2022-10-31,2012-10-16
495,68,1.777037727435754,2011-02-09,2012-10-17
496,2950,1.9867481319306617,2022-10-31,2012-10-18
497,68,1.55831016599282,2011-02-09,2012-10-19
498,68,1.4665933654573076,2011-02-09,2012-10-22
499,2429,1.878645873505483,2020-09-14,2012-10-23
500,68,1.8519221496222036,2011-02-09,2012-10-24
501,68,1.7913482294406076,2011-02-09,2012-10-25
502,2950,1.968572568566565,2022-10-31,2012-10-26
503,1114,1.8396645387716302,2015-05-05,2012-10-29
504,68,1.2346227447365234,2011-02-09,2012-10-30
505,68,0.9666771788971039,2011-02-09,2012-10-31
506,979,1.1962449343299046,2014-10-13,2012-11-01
507,979,1.2179743081498866,2014-10-13,2012-11-02
508,979,1.5835540807445023,2014-10-13,2012-11-05
509,68,1.3274842266607192,2011-02-09,2012-11-06
510,1114,1.2867286183282307,2015-05-05,2012-11-07
511,68,1.108943562313529,2011-02-09,2012-11-08
